shipment_id,order_date,warehouse,destination_region,vehicle_type,distance_km,weight_kg,shipment_count,warehouse_processing_hours,traffic_level,weather,delivery_days,promised_days,delay_flag,shipping_cost,delay_reason
SHP0168,2026-06-17,Delhi,East,Truck,227.7,8.4,1,10.0,High,Cloudy,5.62,4.0,1,761.45,Route Congestion
SHP0169,2026-06-18,Lucknow,East,Bike,344.6,2.2,3,2.1,Low,Clear,8.9,4.0,1,799.97,Route Congestion
SHP0170,2026-06-19,Delhi,North,Van,41.7,30.4,3,16.8,Medium,Cloudy,1.93,1.5,1,527.75,Weather
SHP0171,2026-06-20,Delhi,East,Bike,167.5,11.1,2,3.1,High,Cloudy,4.6,2.5,1,639.78,Route Congestion
SHP0172,2026-06-21,Delhi,West,Van,310.7,21.9,2,4.4,Low,Clear,6.68,4.0,1,954.31,Traffic
SHP0173,2026-06-22,Kanpur,West,Truck,110.4,26.7,3,14.0,Low,Cloudy,3.29,2.5,1,528.74,Weather
SHP0174,2026-06-23,Kanpur,North,Van,316.7,4.9,2,2.6,Medium,Clear,6.7,4.0,1,829.31,Warehouse Delay
SHP0175,2026-06-24,Kanpur,West,Van,213.2,27.4,2,16.3,Low,Clear,5.11,2.5,1,757.5,Warehouse Delay
SHP0176,2026-06-25,Jaipur,West,Van,315.9,32.9,2,13.3,Medium,Clear,7.02,4.0,1,1075.3,Traffic
SHP0177,2026-06-26,Kanpur,West,Truck,196.8,25.6,2,2.2,Medium,Clear,4.6,2.5,1,743.77,Traffic
SHP0178,2026-06-27,Delhi,North,Van,156.4,15.7,3,12.8,Medium,Cloudy,3.83,2.5,1,517.21,Warehouse Delay
SHP0179,2026-06-28,Bareilly,West,Bike,94.4,30.7,2,11.7,Medium,Rain,3.26,2.5,1,617.52,Route Congestion
SHP0180,2026-06-29,Jaipur,East,Van,89.9,18.7,2,13.9,Medium,Cloudy,2.8,2.5,1,457.75,Weather
SHP0181,2026-06-30,Bareilly,West,Bike,316.4,26.2,3,15.1,Medium,Clear,8.82,4.0,1,1010.09,Warehouse Delay
SHP0182,2026-07-01,Delhi,North,Bike,52.6,28.8,2,13.2,Low,Clear,2.16,1.5,1,421.68,Warehouse Delay
SHP0183,2026-07-02,Jaipur,East,Bike,38.9,26.4,1,11.0,Medium,Rain,1.64,1.5,1,420.78,Weather
SHP0184,2026-07-03,Kanpur,East,Van,76.5,10.4,4,6.5,High,Clear,2.29,1.5,1,394.79,Traffic
SHP0185,2026-07-04,Jaipur,North,Van,76.1,4.6,1,12.9,Medium,Clear,2.76,1.5,1,213.08,Weather
SHP0186,2026-07-05,Jaipur,East,Bike,346.2,8.7,3,17.3,Medium,Clear,9.5,4.0,1,947.88,Weather
SHP0187,2026-07-06,Delhi,Central,Van,169.2,17.8,2,11.0,Low,Clear,3.96,2.5,1,611.15,Traffic
SHP0188,2026-07-07,Lucknow,West,Truck,416.0,17.9,1,12.3,Low,Clear,9.6,4.0,1,1105.51,Weather
SHP0189,2026-07-08,Lucknow,Central,Van,60.2,20.6,1,8.4,Low,Clear,1.77,1.5,1,331.65,Weather
SHP0190,2026-07-09,Lucknow,East,Van,275.5,14.1,4,13.9,Low,Clear,6.06,4.0,1,815.34,Weather
SHP0191,2026-07-10,Kanpur,East,Bike,190.1,27.6,2,18.0,High,Clear,5.79,2.5,1,749.86,Warehouse Delay
SHP0192,2026-07-11,Kanpur,East,Truck,166.8,32.0,2,3.7,Low,Clear,3.99,2.5,1,679.67,Weather
SHP0193,2026-07-12,Kanpur,East,Bike,367.9,9.0,3,4.4,High,Clear,9.28,4.0,1,1001.71,Route Congestion
SHP0194,2026-07-13,Lucknow,East,Bike,409.8,25.9,1,10.2,Low,Clear,10.39,4.0,1,1200.71,Traffic
SHP0195,2026-07-14,Bareilly,North,Truck,367.0,23.9,3,9.2,Low,Cloudy,8.4,4.0,1,1072.46,Weather
SHP0196,2026-07-15,Delhi,Central,Van,83.2,18.5,2,10.7,Medium,Clear,2.43,2.5,0,428.7,None
SHP0197,2026-07-16,Lucknow,West,Van,95.1,7.0,3,1.8,Low,Cloudy,2.32,2.5,0,416.88,None
SHP0198,2026-07-17,Delhi,West,Van,276.6,27.9,1,7.9,Medium,Cloudy,5.96,4.0,1,945.13,Warehouse Delay
SHP0199,2026-07-18,Lucknow,North,Van,123.5,33.6,4,10.9,High,Clear,3.47,2.5,1,747.79,Route Congestion
SHP0200,2026-07-19,Bareilly,North,Bike,309.4,25.4,1,10.9,High,Cloudy,8.26,4.0,1,1012.87,Warehouse Delay
SHP0201,2026-07-20,Lucknow,West,Bike,239.2,32.2,3,12.2,Low,Cloudy,6.77,4.0,1,864.21,Weather
SHP0202,2026-07-21,Bareilly,West,Bike,232.7,34.5,3,13.2,Medium,Clear,6.32,4.0,1,845.28,Traffic
SHP0203,2026-07-22,Jaipur,North,Bike,348.5,12.6,2,11.9,Low,Clear,9.01,4.0,1,965.58,Route Congestion
SHP0204,2026-07-23,Kanpur,North,Truck,299.3,22.5,1,14.4,High,Clear,7.44,4.0,1,993.69,Weather
SHP0205,2026-07-24,Jaipur,North,Bike,14.1,16.9,2,11.6,Medium,Rain,1.56,1.5,1,275.14,Route Congestion
SHP0206,2026-07-25,Lucknow,West,Van,23.6,34.5,4,10.1,Low,Cloudy,1.28,1.5,0,449.44,None
SHP0207,2026-07-26,Kanpur,North,Van,253.8,3.7,4,11.3,Low,Rain,5.87,4.0,1,697.74,Warehouse Delay
